X_m,Y_m
20.0,33.0
21.0,34.0
21.0,33.0
21.0,32.0
22.0,35.0
22.0,34.0
22.0,33.0
22.0,32.0
22.0,31.0
23.0,36.0
23.0,35.0
23.0,34.0
23.0,33.0
23.0,32.0
23.0,31.0
23.0,30.0
24.0,46.0
24.0,45.0
24.0,37.0
24.0,36.0
24.0,35.0
24.0,34.0
24.0,33.0
24.0,32.0
24.0,31.0
24.0,30.0
24.0,29.0
25.0,47.0
25.0,46.0
25.0,45.0
25.0,44.0
25.0,38.0
25.0,37.0
25.0,36.0
25.0,35.0
25.0,34.0
25.0,33.0
25.0,32.0
25.0,31.0
25.0,30.0
25.0,29.0
25.0,28.0
26.0,46.0
26.0,45.0
26.0,44.0
26.0,43.0
26.0,39.0
26.0,38.0
26.0,37.0
26.0,36.0
26.0,34.0
26.0,33.0
26.0,32.0
26.0,31.0
26.0,30.0
26.0,29.0
26.0,28.0
26.0,27.0
27.0,45.0
27.0,44.0
27.0,43.0
27.0,42.0
27.0,40.0
27.0,39.0
27.0,38.0
27.0,37.0
27.0,33.0
27.0,32.0
27.0,31.0
27.0,30.0
27.0,29.0
27.0,28.0
27.0,27.0
27.0,26.0
28.0,44.0
28.0,43.0
28.0,42.0
28.0,41.0
28.0,40.0
28.0,39.0
28.0,38.0
28.0,32.0
28.0,31.0
28.0,30.0
28.0,29.0
28.0,28.0
28.0,27.0
28.0,26.0
28.0,25.0
29.0,43.0
29.0,42.0
29.0,41.0
29.0,40.0
29.0,39.0
29.0,31.0
29.0,30.0
29.0,29.0
29.0,28.0
29.0,27.0
29.0,26.0
29.0,25.0
29.0,24.0
30.0,42.0
30.0,41.0
30.0,40.0
30.0,30.0
30.0,29.0
30.0,28.0
30.0,27.0
30.0,26.0
30.0,25.0
30.0,24.0
30.0,23.0
31.0,41.0
31.0,29.0
31.0,28.0
31.0,27.0
31.0,26.0
31.0,25.0
31.0,24.0
31.0,23.0
31.0,22.0
32.0,28.0
32.0,27.0
32.0,26.0
32.0,25.0
32.0,24.0
32.0,23.0
32.0,22.0
32.0,21.0
33.0,27.0
33.0,26.0
33.0,25.0
33.0,24.0
33.0,23.0
33.0,22.0
33.0,21.0
33.0,20.0
34.0,26.0
34.0,25.0
34.0,24.0
34.0,23.0
34.0,22.0
34.0,21.0
34.0,20.0
34.0,19.0
35.0,25.0
35.0,24.0
35.0,23.0
35.0,22.0
35.0,21.0
35.0,20.0
35.0,19.0
35.0,18.0
36.0,24.0
36.0,23.0
36.0,22.0
36.0,21.0
36.0,20.0
36.0,19.0
36.0,18.0
37.0,23.0
37.0,22.0
37.0,21.0
37.0,20.0
37.0,19.0
37.0,18.0
38.0,23.0
38.0,22.0
38.0,21.0
38.0,20.0
38.0,19.0
38.0,18.0
39.0,23.0
39.0,22.0
39.0,21.0
39.0,20.0
39.0,19.0
39.0,18.0
39.0,17.0
39.0,16.0
39.0,15.0
39.0,14.0
39.0,13.0
39.0,12.0
39.0,11.0
39.0,10.0
40.0,23.0
40.0,22.0
40.0,21.0
40.0,20.0
40.0,19.0
40.0,18.0
40.0,17.0
40.0,16.0
40.0,15.0
40.0,14.0
40.0,13.0
40.0,12.0
40.0,11.0
40.0,10.0
41.0,23.0
41.0,22.0
41.0,21.0
41.0,20.0
41.0,19.0
41.0,18.0
41.0,17.0
41.0,16.0
41.0,15.0
41.0,14.0
41.0,13.0
41.0,12.0
41.0,11.0
41.0,10.0
42.0,23.0
42.0,22.0
42.0,21.0
42.0,20.0
42.0,19.0
42.0,18.0
42.0,17.0
42.0,16.0
42.0,15.0
42.0,14.0
42.0,13.0
42.0,12.0
42.0,11.0
42.0,10.0
43.0,23.0
43.0,22.0
43.0,21.0
43.0,20.0
43.0,19.0
43.0,18.0
43.0,17.0
43.0,16.0
43.0,15.0
43.0,14.0
43.0,13.0
43.0,12.0
43.0,11.0
43.0,10.0
44.0,23.0
44.0,22.0
44.0,21.0
44.0,20.0
44.0,19.0
44.0,18.0
44.0,17.0
44.0,16.0
44.0,15.0
44.0,14.0
44.0,13.0
44.0,12.0
44.0,11.0
44.0,10.0
45.0,25.0
45.0,24.0
45.0,23.0
45.0,22.0
45.0,21.0
45.0,20.0
45.0,19.0
45.0,18.0
45.0,17.0
45.0,16.0
45.0,15.0
45.0,14.0
45.0,13.0
45.0,12.0
45.0,11.0
45.0,10.0
46.0,34.0
46.0,33.0
46.0,32.0
46.0,31.0
46.0,30.0
46.0,29.0
46.0,28.0
46.0,27.0
46.0,26.0
46.0,25.0
46.0,24.0
46.0,23.0
46.0,22.0
46.0,21.0
46.0,20.0
46.0,19.0
46.0,18.0
46.0,17.0
46.0,16.0
46.0,15.0
46.0,14.0
46.0,13.0
46.0,12.0
46.0,11.0
46.0,10.0
47.0,34.0
47.0,33.0
47.0,32.0
47.0,31.0
47.0,30.0
47.0,29.0
47.0,28.0
47.0,27.0
47.0,26.0
47.0,25.0
47.0,24.0
47.0,23.0
47.0,22.0
47.0,21.0
47.0,20.0
47.0,19.0
47.0,18.0
47.0,17.0
47.0,16.0
47.0,15.0
47.0,14.0
47.0,13.0
47.0,12.0
47.0,11.0
47.0,10.0
48.0,34.0
48.0,33.0
48.0,32.0
48.0,31.0
48.0,30.0
48.0,29.0
48.0,28.0
48.0,27.0
48.0,26.0
48.0,25.0
48.0,24.0
48.0,23.0
48.0,22.0
48.0,21.0
48.0,20.0
48.0,19.0
48.0,18.0
48.0,17.0
48.0,16.0
48.0,15.0
